area_code,type,diocese,sa_2022_code,catholic,other_religion,no_religion,not_stated
037150001,ROI small area,"Tuam, Limerick and Killaloe",037150001,172,4,17,8
037011001,ROI small area,"Tuam, Limerick and Killaloe",037011001,159,4,36,53
037060001,ROI small area,"Tuam, Limerick and Killaloe",037060001,304,10,45,5
037090001,ROI small area,"Tuam, Limerick and Killaloe",037090001,128,8,19,3
037080001,ROI small area,"Tuam, Limerick and Killaloe",037080001,212,8,52,15
037092001,ROI small area,"Tuam, Limerick and Killaloe",037092001,150,14,29,11
037039001,ROI small area,"Tuam, Limerick and Killaloe",037039001,102,3,7,101
037023001,ROI small area,"Tuam, Limerick and Killaloe",037023001,94,26,24,14
037131001,ROI small area,"Tuam, Limerick and Killaloe",037131001,174,12,37,10
037017001,ROI small area,"Tuam, Limerick and Killaloe",037017001,121,11,59,21
037142001,ROI small area,"Tuam, Limerick and Killaloe",037142001,132,11,17,29
037131002,ROI small area,"Tuam, Limerick and Killaloe",037131002,207,11,55,19
037012001,ROI small area,"Tuam, Limerick and Killaloe",037012001,123,3,18,3
037086004,ROI small area,"Tuam, Limerick and Killaloe",037086004,122,10,45,18
077066003,ROI small area,"Tuam, Limerick and Killaloe",077066003,183,4,4,7
077148003,ROI small area,"Tuam, Limerick and Killaloe",077148003,224,6,6,8
047062001,ROI small area,"Tuam, Limerick and Killaloe",047062001,274,7,9,4
047272002,ROI small area,"Cork, Cloyne and Ross",047272002,274,3,21,4
047097002,ROI small area,"Cork, Cloyne and Ross",047097002,134,5,30,13
047114001,ROI small area,"Cork, Cloyne and Ross",047114001,221,5,24,4
047136005,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047136008/01,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
